,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
189,0.9579906645921316,515 브리즈번 2홀 모크슈즈 모던베이지,비에스큐티바이클래시,3500.0,1422,64,4.9,200.0
190,0.957768392976217,WISLEY SCRUNCH FLAT - BLACK,락피쉬웨더웨어,3900.0,538,18,4.9,50.0
191,0.9575461213603023,튜보 슬라이드 화이트,커버낫,5400.0,2874,441,4.8,700.0
192,0.9573238497443877,[야세X한국타이어] 제로 스퀘어 첼시,야세,2300.0,4656,1320,4.8,1000.0
193,0.957101578128473,오리지널 윈터 슬리퍼 - 6color,락피쉬웨더웨어,6800.0,19655,2714,4.9,8700.0
194,0.9568793065125584,WTRD1203-1 클리프 스퀘어토 4홀 더비슈즈 화이트 [230~290MM],위더로드,3200.0,3836,591,4.8,1000.0
195,0.9566570348966437,빅볼청키 다이아 모노그램 NY (Black),엠엘비,2200.0,1839,114,4.9,500.0
196,0.9564347632807291,PT203 타우페,아일랜드슬리퍼,1200.0,984,165,4.8,500.0
197,0.9562124916648144,공용 BAYABAND CLOG MBP (23SUCL205089),크록스,11000.0,1951,93,4.9,500.0
198,0.9559902200488998,SECOND.A 매트블랙 라운드토 코만도솔 더비슈즈 2NDF 100B,피렌체 아뜨리에,2500.0,6802,3082,4.7,1200.0
199,0.9557679484329851,재릭,닥터마틴,2300.0,1065,24,4.5,50.0
200,0.9555456768170705,SCRUNCH MARYJANE - CREAM,락피쉬웨더웨어,3300.0,2800,195,4.9,500.0
201,0.9553234052011558,다우너 로퍼 R21M041 (BX 블랙),로맨틱무브,2400.0,4490,990,4.8,900.0
202,0.9551011335852412,WISLEY MARYJANE - BLACK,락피쉬웨더웨어,4800.0,621,12,4.8,50.0
203,0.9548788619693265,아이언 레인저 8085 - 카퍼 러프앤터프,레드윙,2300.0,614,108,4.9,50.0
204,0.9546565903534119,WISLEY RIBBON FLAT - WHITE,락피쉬웨더웨어,4400.0,662,21,4.9,50.0
205,0.9544343187374972,아드리안 아르카디아 체리레드 ADRIAN 14573601,닥터마틴,2400.0,1909,638,4.8,200.0
206,0.9542120471215826,BLUNT - 000(a) / BLACK,킨치,2600.0,250,26,4.9,50.0
207,0.9539897755056679,샌드라인 3 (WHITE),디스커버리 익스페디션,10000.0,7997,1516,4.8,1200.0
208,0.9537675038897533,SECOND.A 스탠다드 라운드토 더비슈즈 2NDF2200GB [BLACK],피렌체 아뜨리에,2000.0,1605,326,4.8,500.0
209,0.9535452322738386,모 클로그 베이지,모 스포츠,4300.0,380,36,4.8,200.0
210,0.953322960657924,GRAB-ITY BALANCE™ PRO SLIDE-BLACK/WHITE,골스튜디오,4600.0,3944,2201,4.8,2100.0
211,0.9531006890420093,펜톤 벡스 백핸드 블랙 / 27876001,닥터마틴,3700.0,2393,51,4.9,200.0
212,0.9528784174260947,[깡스타일리스트X슈펜] 클래식 레더로퍼 블랙 BYSC79A01,슈펜,2500.0,4984,1685,4.6,1400.0
213,0.95265614581018,어셈블 벨크로 2_White,다이나핏,5900.0,965,12,4.8,100.0
214,0.9524338741942654,NBRJDS104K / NB 쿠셔닝 슬라이드 / SD1501BB3 (BLACK),뉴발란스,4900.0,224,11,5.0,100.0
215,0.9522116025783507,공용 BAYABAND CLOG BKW (23SUCL205089),크록스,7400.0,570,93,4.9,700.0
216,0.9519893309624361,2976 첼시부츠 YS 블랙 / 22227001,닥터마틴,2500.0,4365,488,4.9,400.0
217,0.9517670593465215,ORIGINAL CHELSEA RAINBOOTS - 6color,락피쉬웨더웨어,3700.0,636,14,4.9,50.0
218,0.9515447877306068,블러프 스퀘어토 더비 R22M021 (BX 블랙),로맨틱무브,1600.0,519,43,4.9,100.0
219,0.9513225161146922,스퀘어 토 베이직 롱부츠 412148004 (3cm/2color),솔트앤초콜릿,2500.0,3759,321,4.8,800.0
